Lyric,Genre
"

Verse 1:

Rise up from the depths of despair,
To the darkness of the night,
The power of the metal will take us so high,
We'll never turn back, we'll never die.

Chorus:

Let the metal roar,
Let it take us to the sky,
We won't be denied,
We're gonna rock hard tonight.

Verse 2:

The power of the metal will bring us to life,
We'll never surrender, we'll never give in,
We'll fight for our freedom,
We'll never give up, we'll never give in.

Chorus:

Let the metal roar,
Let it take us to the sky,
We won't be denied,
We're gonna rock hard tonight.

Bridge:

We're gonna make it through,
No matter what comes our way,
We'll never back down,
We'll never give in.

Chorus:

Let the metal roar,
Let it take us to the sky,
We won't be denied,
We're gonna rock hard tonight.",Heavy Metal
"

Verse 1:

We are the ones to rise up, we face the darkness and the pain
Fighting for our freedom, never backing down again
We will not be broken, we will not be taken away
We will stand together, we'll never kneel in dismay

Chorus:

Rise up and fight, take back the night
Our hearts will never be denied
We will stand tall, we will not fall
We will never be denied

Verse 2:

Our voices will be heard, we will not be scared away
We will not be silenced, we will not be swayed
We will stand together, no matter what comes our way
We will never surrender, no matter what they say

Chorus:

Rise up and fight, take back the night
Our hearts will never be denied
We will stand tall, we will not fall
We will never be denied

Bridge:

We are the ones to rise up, we will never give in
We will fight for our freedom, we will never give in
We will stand together, no matter what comes our way
We will never surrender, no matter what they say

Chorus:

Rise up and fight, take back the night
Our hearts will never be denied
We will stand tall, we will not fall
We will never be denied",Heavy Metal
"

Verse 1

Caught in a world of fire and steel
Destined to fight for what we feel
We will never surrender, no matter what they say
Rise up and take control of the day

Chorus

We are the warriors of the night
Our metal will never cease to fight
We'll take our stand and never look back
We will never be denied our heavy metal attack

Verse 2

The thunder of drums and the power of our guitars
We will never be silenced, no matter what they do
We'll keep our heads held high and our fists in the air
As we blaze our own trail of metal everywhere

Chorus

We are the warriors of the night
Our metal will never cease to fight
We'll take our stand and never look back
We will never be denied our heavy metal attack

Bridge

Our music will never die
It will live on forever in our minds
Our passion will never be denied
Our metal will never be denied

Chorus

We are the warriors of the night
Our metal will never cease to fight
We'll take our stand and never look back
We will never be denied our heavy metal attack",Heavy Metal
"

Verse 1:

Riding on the wings of darkness,
We will rise up in the night
Our souls burning with vengeance,
We'll take back what is our right

Chorus:

We'll never back down,
We'll never surrender
Our metal will reign,
No force can contend her

Verse 2:

We will march through the fire,
Our hearts filled with rage
The power of our metal,
Will never be caged

Chorus:

We'll never back down,
We'll never surrender
Our metal will reign,
No force can contend her

Bridge:

Our metal will never die
It's the power that guides us through
No force can break our will,
Our metal will live on forever true

Chorus:

We'll never back down,
We'll never surrender
Our metal will reign,
No force can contend her",Heavy Metal
"

Verse 1:

Rising from the depths of despair,
A relentless force of pain and fear,
Drowning in a sea of rage,
We stand united in our darkest hour.

Chorus:
Rise up, never give in,
Our souls will never be broken,
We will fight for our freedom,
Our fate is in our own hands.

Verse 2:

We hear the cries of the fallen,
Our hearts are aching for revenge,
We will stand together and fight,
Our courage will never die.

Chorus:
Rise up, never give in,
Our souls will never be broken,
We will fight for our freedom,
Our fate is in our own hands.

Bridge:
We will stand and fight,
Our courage will never die,
We will never surrender,
Our will shall never be broken.

Chorus:
Rise up, never give in,
Our souls will never be broken,
We will fight for our freedom,
Our fate is in our own hands.",Heavy Metal
"

Verse 1:

I'm on a mission, I'm ready to fight
Breaking the chains, I'm standing for might
Rising up higher, I'm ready to take
My destiny's calling, I'm not gonna break

Chorus:
Tearing through the night, I'm gonna make my stand
I'm gonna take control, I'm gonna take command
Heavy metal's my power, I'm gonna make it mine
I'm gonna rise up higher, I'm gonna break the line

Verse 2:
Reaching for greatness, I'm not gonna fail
Gonna take my chance, I'm not gonna quail
Leading the charge, I'm ready to go
My heart's on fire, I'm ready to show

Chorus:
Tearing through the night, I'm gonna make my stand
I'm gonna take control, I'm gonna take command
Heavy metal's my power, I'm gonna make it mine
I'm gonna rise up higher, I'm gonna break the line

Bridge:
I'm the one who'll take the stand
I'm the one who'll make the stand
I'm the one who'll take the power
I'm the one who'll make it mine

Chorus:
Tearing through the night, I'm gonna make my stand
I'm gonna take control, I'm gonna take command
Heavy metal's my power, I'm gonna make it mine
I'm gonna rise up higher, I'm gonna break the line",Heavy Metal
"

Verse 1:

Fury of the night, the darkness takes flight
Rising from the depths of our souls
We march through the shadows, no mercy in sight
Ready to take on our foes

Chorus:

We are the warriors of metal
The power of our sound will never fail
Our fire will never be extinguished
We'll fight 'til the end and never relent

Verse 2:

The power of our rage will never be tamed
The force of our will will never break
Our strength will never falter, we'll never be shamed
Our metal will never forsake

Chorus:

We are the warriors of metal
The power of our sound will never fail
Our fire will never be extinguished
We'll fight 'til the end and never relent

Bridge:

Our metal will never die
Our hearts are filled with pride
Our destiny is clear
We will always be here

Chorus:

We are the warriors of metal
The power of our sound will never fail
Our fire will never be extinguished
We'll fight 'til the end and never relent",Heavy Metal
"

Verse 1:

Burning through the night, the fire of rage in my veins
I'm ready to fight, and I won't be restrained
I'm gonna take control, and I won't look back
I'm gonna raise my sword and attack

Chorus:

I'm gonna bring the heavy metal, the power and the sound
I'm gonna bring the heavy metal, the chaos and the ground
I'm gonna bring the heavy metal, the power and the rage
I'm gonna bring the heavy metal, and I won't be caged

Verse 2:

My soul is aflame, and my spirit is strong
I'm gonna bring the thunder, and it won't be long
The power of the night, I'm gonna use it to my will
I'm gonna break the chains, and I'm gonna break the seal

Chorus:

I'm gonna bring the heavy metal, the power and the sound
I'm gonna bring the heavy metal, the chaos and the ground
I'm gonna bring the heavy metal, the power and the rage
I'm gonna bring the heavy metal, and I won't be caged

Bridge:

I'm gonna bring the heavy metal, and I won't be denied
I'm gonna bring the heavy metal, and I'm gonna ride
I'm gonna bring the heavy metal, and I'm gonna fly
I'm gonna bring the heavy metal, and I'm gonna die

Chorus:

I'm gonna bring the heavy metal, the power and the sound
I'm gonna bring the heavy metal, the chaos and the ground
I'm gonna bring the heavy metal, the power and the rage
I'm gonna bring the heavy metal, and I won't be caged",Heavy Metal
"

Verse 1

We are the ones who will never be denied
Our strength will never be denied
We are the ones who will never be denied
Our power will never be denied

Chorus

We will fight and never surrender
Our will will never be broken
We will stand and never falter
Our spirit will never be broken

Verse 2

Our courage will never be denied
Our strength will never be denied
Our honor will never be denied
Our courage will never be denied

Chorus

We will fight and never surrender
Our will will never be broken
We will stand and never falter
Our spirit will never be broken

Bridge

We will never back down, never give in
Our faith will never be shaken
We will never be afraid, no matter what comes
Our courage will never be taken

Chorus

We will fight and never surrender
Our will will never be broken
We will stand and never falter
Our spirit will never be broken",Heavy Metal
"

Verse 1:

The darkness has taken over me
My soul is now broken and free
The fire in my heart is burning bright
The power of metal will save my life

Chorus:

Rise up, break the chains
Burning through the night
Rise up, never give in
Heavy metal will set us free

Verse 2:

The sound of thundering drums
The power of the guitars hum
The fire of the solo will make us strong
Our metal hearts will never be gone

Chorus:

Rise up, break the chains
Burning through the night
Rise up, never give in
Heavy metal will set us free

Bridge:

We will never surrender, never give in
Our metal hearts will never break
Our power will never end, we will never die
Heavy metal will set us free

Chorus:

Rise up, break the chains
Burning through the night
Rise up, never give in
Heavy metal will set us free",Heavy Metal
